Время (с),A0 (В),A1 (В)
1.5562257766723633,2.51,2.616730991965268
1.5652241706848145,2.627,3.1288823942579462
1.5773882865905762,2.431,2.3712154007096395
1.5850298404693604,2.431,2.3728766940619668
1.5930280685424805,2.294,2.3476246984448093
1.606151819229126,2.353,2.182108284950461
1.6141514778137207,2.216,2.506703715365965
1.6261510848999023,2.373,2.456691419440007
1.634152889251709,2.255,2.182803512066181
1.6471500396728516,2.353,2.557813484226146
1.6551504135131836,2.314,2.7413070003250173
1.6632163524627686,2.431,2.5266574135196658
1.6753816604614258,2.353,2.511755057749354
1.6836049556732178,2.51,2.032860405870334
1.6956048011779783,2.529,2.0559645709784493
1.7036726474761963,2.745,2.4655682953626137
1.7167396545410156,2.588,2.6657997055843916
1.7248187065124512,2.627,2.1181433219878683
1.7368855476379397,2.51,2.6181857462516733
1.744887113571167,2.627,2.2653120561658007
1.752939224243164,2.49,2.845599347506481
1.7659924030303955,2.608,2.343790658296576
1.7739982604980469,2.49,2.7208696942161867
1.7855849266052246,2.549,2.910735063778269
1.794586181640625,2.353,2.7806110172898864
1.8066983222961424,2.412,1.9916152304108363
1.8148443698883057,2.294,2.1443294370724493
1.8268439769744875,2.412,2.0164487717109965
1.83491849899292,2.314,2.496887380617779
1.847975730895996,2.451,2.8588802581853177
1.855973243713379,2.333,2.314083322934655
1.8680436611175537,2.51,2.746496108148185
1.8761792182922363,2.451,2.064958370938581
1.884695053100586,2.647,2.4911762959539376
1.8966944217681885,2.549,2.3421125577248643
1.9047954082489011,2.725,3.0900734502397578
1.9168815612792969,2.588,3.0749116216063923
1.9248836040496824,2.667,2.830422366611566
1.938030481338501,2.431,2.0583614269867296
1.9460880756378172,2.51,2.8754427583377757
1.9580872058868408,2.373,2.432456590501124
1.9660868644714355,2.529,2.4101176988393496
1.9780914783477783,2.392,2.5144636608306663
1.9866015911102293,2.529,2.13172586176656
1.998600959777832,2.373,2.30104830318164
2.007603883743286,2.529,2.794221966747008
2.0196006298065186,2.412,1.9472991020402353
2.0276031494140625,2.588,2.993179971257543
2.039716958999634,2.431,2.373961465494623
2.048369646072388,2.471,2.248259987214957
2.056367874145508,2.314,1.9607766728272165
2.0689854621887207,2.451,2.3291218811552397
2.077083110809326,2.314,2.094053161028847
2.0895941257476807,2.471,2.40920631871022
2.0975942611694336,2.392,2.6939682650174843
2.109593629837036,2.647,2.928938828836642
2.117592096328736,2.569,2.9261521429276485
2.1297056674957275,2.686,2.2412812081092657
2.1388051509857178,2.627,2.1997333949750013
2.14680552482605,2.882,3.069357337517916
2.1588563919067383,2.725,2.8601330823747655
2.166919946670532,2.804,3.3035393505999444
2.178921222686768,2.588,2.196980828322471
2.187434673309326,2.686,2.252294199124236
2.1994426250457764,2.549,2.717507828346845
2.207498788833618,2.608,3.026874622683037
2.2206859588623047,2.392,1.9521778456333463
2.228686809539795,2.49,2.572027836755688
2.2366838455200195,2.333,2.377230974771705
2.2489750385284424,2.431,2.1680690543762764
2.2575552463531494,2.353,1.9744901288413395
2.269662618637085,2.51,2.9498892429650003
2.2772650718688965,2.353,2.479799324849119
2.289903402328491,2.51,2.5535076235349345
2.2983641624450684,2.353,2.6072874761288514
2.306482076644897,2.49,2.140929873198501
2.318551778793335,2.471,2.1010801384156497
2.32669448852539,2.706,2.975895168031422
2.338694334030152,2.549,2.3832496439091533
2.346759080886841,2.608,2.3007892314850737
2.3598711490631104,2.51,2.718091047180768
2.367877244949341,2.608,2.8073285815490467
2.3798770904541016,2.451,2.212899678377268
2.388392686843872,2.569,2.5277123229503604
2.400390863418579,2.471,2.0923080908530443
2.4083926677703857,2.569,3.0757105344944806
2.4213929176330566,2.431,2.3573952112314713
2.4294626712799072,2.588,2.187951667431894
2.43757438659668,2.412,2.747610048284537
2.449574708938598,2.451,2.2018601677728746
2.4576575756073,2.255,2.214120549764277
2.4697065353393555,2.392,2.4404808725342853
2.478708505630493,2.216,1.8016433226591673
2.490220546722412,2.373,2.7057756930617645
2.4992196559906006,2.255,2.6364473221238223
2.511228322982788,2.373,2.504449486651251
2.519294500350952,2.275,2.435917282136102
2.5311453342437744,2.569,2.509816969114833
2.5402185916900635,2.529,2.3393776663926573
2.552218198776245,2.765,2.746969809816081
2.560218334197998,2.608,2.5234049917929733
2.5682213306427,2.725,2.287633698382846
2.58122181892395,2.471,2.841854314896948
2.588729858398437,2.608,3.023715127762623
2.600842237472534,2.49,2.151705280489553
2.6089046001434326,2.686,2.808398088209962
2.621905565261841,2.51,2.175968870747945
2.6299049854278564,2.569,3.0253548099673413
2.641906499862671,2.294,1.9124403924846995
2.64990496635437,2.412,2.4649331498249696
2.658970832824707,2.294,2.2515050879322263
2.6709766387939453,2.451,2.9056555672381874
2.6789746284484863,2.235,2.3742877785451983
2.69163179397583,2.392,2.5065805156696634
2.699730634689331,2.314,2.6513540701682725
2.711733818054199,2.49,2.783693996369372
2.720387458801269,2.255,1.822129991382333
2.7324705123901367,2.471,2.6479448991993375
2.7404701709747314,2.373,2.6357918712543764
2.748469114303589,2.627,2.5450996579525444
2.760634183883667,2.49,2.538264289126488
2.768704414367676,2.627,3.0627658535681146
2.7817041873931885,2.51,2.8064248177893765
2.7898101806640625,2.725,2.4025121034783132
2.802198648452759,2.588,2.8040472588636245
2.8098669052124023,2.647,3.0890179577717256
2.8178646564483643,2.431,2.827126288560643
2.8308656215667725,2.569,2.4280574048824635
2.8388705253601074,2.471,2.472752638414777
2.850865602493286,2.667,3.0852135574572257
