Время (с),A0 (В),A1 (В)
0.0,2.608,2.6213283445008524
0.0,2.569,2.9363361355758033
0.0010058879852294,2.569,2.962282739104373
0.0010058879852294,2.51,3.002594885879556
0.0010058879852294,2.569,2.1579560308858765
0.0010058879852294,2.49,2.770400083029013
0.0010058879852294,2.49,2.25548036377253
0.0010058879852294,2.412,2.4085104860845337
0.0010058879852294,2.451,2.249711381047971
0.0010058879852294,2.373,1.9521114340457375
0.0010058879852294,2.412,2.0479155537714857
0.0010058879852294,2.431,2.803731013030696
0.0010058879852294,2.549,2.3975314414343902
0.0010058879852294,2.353,2.2302350687392423
0.002004861831665,2.137,2.131746215689636
0.002004861831665,1.98,1.9667624617999164
0.002004861831665,2.157,1.8373673476837766
0.002004861831665,2.275,1.9557618603716367
0.002004861831665,2.451,2.719389353803595
0.002004861831665,2.412,2.0058960599446336
0.002004861831665,2.392,2.324363594901269
0.002004861831665,2.431,2.9097071410058635
0.002004861831665,2.608,2.180909262100917
0.002004861831665,2.529,2.170736667784553
0.002004861831665,2.471,2.578902852424232
0.0030076503753662,2.412,1.978122183593051
0.0030076503753662,2.392,2.39364122808475
0.0030076503753662,2.275,2.0754607055135827
0.0030076503753662,2.314,2.1008944272704198
0.0030076503753662,2.373,2.2127213876678846
0.0030076503753662,2.569,2.38820703633979
0.0030076503753662,2.725,2.550619177460063
0.0030076503753662,3.059,2.690281857024785
0.0030076503753662,3.176,3.1272011134456537
0.0040056705474853,3.118,3.477390223792912
0.0040056705474853,2.686,2.971045770109765
0.0040056705474853,2.314,2.1891885700473654
0.0040056705474853,2.157,2.54790044470211
0.0090053081512451,2.176,2.059847987988705
0.021353006362915,2.196,2.4134359451962357
0.0294020175933837,2.255,2.0296947698520547
0.0414016246795654,2.255,2.392108770347696
0.0504119396209716,2.235,2.4605398358481296
0.058457612991333,2.137,2.3378408377374034
0.0704891681671142,2.216,1.943556530787053
0.0784895420074462,2.373,2.159853245137569
0.0915365219116211,2.549,2.198404449811713
0.0995774269104003,2.667,2.2996470944916183
0.1115772724151611,2.745,2.589193418419679
0.1195783615112304,2.471,2.4761230001791574
0.127619981765747,2.275,2.271192972825359
0.1406655311584472,2.627,2.915551838258601
0.1486716270446777,2.922,2.3561839630235384
0.16080904006958,2.863,3.169243806269894
0.1688063144683838,2.824,2.3649450617338665
0.1808063983917236,2.961,2.9617054863575003
0.1898074150085449,3.098,2.9226847904811004
0.2018554210662841,3.118,3.378089892767652
0.2099080085754394,3.176,2.5744121169806373
0.2180309295654297,3.137,2.9104830848213723
0.2300324440002441,2.922,2.488226538268333
0.2385454177856445,2.647,2.6908492922615834
0.2506437301635742,2.451,2.8545430191608863
0.2582025527954101,2.255,1.8796326427495473
0.2717154026031494,2.216,2.3393951129308603
0.2797138690948486,2.353,2.029066284841183
