Время (с),A0 (В),A2 (В)
0.007401227951049805,2.118,0.000
0.008444786071777344,2.020,0.000
0.008444786071777344,1.941,0.000
0.008444786071777344,1.902,0.000
0.008444786071777344,1.765,0.000
0.008444786071777344,1.588,0.000
0.008444786071777344,1.529,0.059
0.008444786071777344,1.333,0.235
0.008444786071777344,1.176,0.196
0.008444786071777344,1.078,0.235
0.008444786071777344,0.941,0.255
0.008444786071777344,0.863,0.275
0.008444786071777344,0.843,0.275
0.008444786071777344,0.843,0.373
0.009442806243896484,0.902,0.529
0.009442806243896484,1.020,0.373
0.009442806243896484,1.137,0.314
0.009442806243896484,1.353,0.412
0.009442806243896484,1.549,0.431
0.009442806243896484,1.725,0.510
0.009442806243896484,1.922,0.745
0.009442806243896484,2.059,0.882
0.009442806243896484,2.157,0.843
0.009442806243896484,2.255,0.843
0.009442806243896484,2.333,0.765
0.009442806243896484,2.392,0.647
0.009442806243896484,2.431,0.647
0.009442806243896484,2.490,0.667
0.010444402694702148,2.490,0.549
0.010444402694702148,2.490,0.431
0.010444402694702148,2.490,0.235
0.010444402694702148,2.490,0.255
0.010444402694702148,2.451,0.176
0.010444402694702148,2.412,0.255
0.010444402694702148,2.353,0.353
0.010444402694702148,2.353,0.412
0.010444402694702148,2.353,0.294
0.010444402694702148,2.412,0.471
0.010444402694702148,2.471,0.510
0.011444091796875,2.588,0.529
0.011444091796875,2.706,0.824
0.011444091796875,2.804,0.902
0.011444091796875,2.922,0.863
0.011444091796875,3.020,1.039
0.013487100601196289,3.059,1.059
0.018488168716430664,3.137,1.078
0.022487163543701172,3.157,1.294
0.022487163543701172,3.137,1.549
0.026486635208129883,3.098,1.686
0.030587196350097656,3.059,1.765
0.030587196350097656,3.078,1.745
0.03458809852600098,3.039,1.725
0.03865551948547363,3.059,1.706
0.04265165328979492,3.118,1.882
0.04265165328979492,3.157,1.902
0.04674410820007324,3.216,1.922
0.05074644088745117,3.235,1.863
0.05479884147644043,3.333,1.863
0.05479884147644043,3.373,1.882
